,Unnamed: 0,name,struct,addr,lat,lon
8804,8804,Центр образования № 1479,(Государственное образовательное учреждение),"127051, Москва, Центральный округ,  Цветной бульвар, д.7, стр.11
127051 Большой Каретный переулок, 22 стр.6",55.77246,37.61809
8805,8805,Средняя общеобразовательная школа с углубленным изучением французского языка № 1248,(Государственное образовательное учреждение),"121352, Москва, Западный округ,  Давыдковская улица, 2, к.6",55.72549,37.47369
8806,8806,Средняя общеобразовательная школа № 99,(Государственное образовательное учреждение),"121352, Москва, Западный округ,  Давыдковская улица, 14, к.1
121352 Славянский бульвар, д.11 к. 3",55.72384,37.46638
8807,8807,Средняя общеобразовательная школа № 79,(Государственное образовательное учреждение),"121357, Москва, Западный округ,  Артамонова улица, 2",55.72004,37.46033
8808,8808,Средняя общеобразовательная школа № 71,(Государственное образовательное учреждение),"121433, Москва, Западный округ,  Большая Филевская улица, 39",55.74168,37.47771
8809,8809,"Центр образования ""Школа здоровья"" № 97",(Государственное образовательное учреждение),"121357, Москва, Западный округ,  Кременчугская улица, 46",55.71201,37.45623
8810,8810,Начальная школа-детский сад № 1699,(Ведомственное образовательное учреждение),"Москва, Западный округ, Давыдковская улица, 1",55.72834,37.48043
8811,8811,Средняя общеобразовательная школа с углубленным изучением английского и немецкого языков № 1308,(Государственное образовательное учреждение),"119602, Москва, Западный округ,  Академика Анохина улица, 2, к.5",55.67346,37.4733
8812,8812,Прогимназия № 1723,(Государственное образовательное учреждение),"119571, Москва, Западный округ,  Ленинский проспект, 156, к.2",55.65368,37.48558
8813,8813,Центр образования № 1329,(Государственное образовательное учреждение),"119602, Москва, Западный округ,  Никулинская улица, 10",55.66902,37.46495
8814,8814,Средняя общеобразовательная школа № 1741,(Государственное образовательное учреждение),"119602, Москва, Западный округ,  Никулинская улица, 5",55.66648,37.45568
8815,8815,Средняя общеобразовательная школа № 843,(Государственное образовательное учреждение),"119602, Москва, Западный округ,  Мичуринский проспект, Олимпийская деревня, 23 
119602 Мичуринский проспект, Олимпийская деревня, 23 стр.1",55.7024379,37.5042763
