"Name";"Diameter";"TypeExit";"OnTerritoryOfMoscow";"AdmArea";"District";"Latitude_WGS84";"Longitude_WGS84";"NameMetroExit";"ObjectStatus";"global_id";"geoData";"geodata_center";
"Наименование прохода станции МЦД";"Станция МЦД";"Тип прохода";"На территории Москвы";"Административный округ";"Район";"Широта прохода в WGS-84";"Долгота прохода в WGS-84";"Ближайшие входы и выходы вестибюлей Московского метрополитена";"Статус объекта";"global_id";"geoData";"geodata_center";
"Гражданская (проход 3)";"nested data";"Вход-выход";"да";"Северный административный округ";"Тимирязевский район";"55.805225";"37.555120";"";"действует";"1059340763";"{coordinates=[37.55512, 55.805225], type=Point}";"";
"Гражданская (проход 4)";"nested data";"Вход-выход";"да";"Северный административный округ";"Савёловский район";"55.804798";"37.555694";"";"действует";"1059340764";"{coordinates=[37.555694, 55.804798], type=Point}";"";
"Стрешнево (проход 4)";"nested data";"Вход-выход";"да";"Северный административный округ";"район Сокол";"55.815014";"37.487330";"";"действует";"1059340769";"{coordinates=[37.48733, 55.815014], type=Point}";"";
"Стрешнево (проход 2)";"nested data";"Вход-выход";"да";"Северный административный округ";"Войковский район";"55.815640";"37.487415";"";"действует";"1059340770";"{coordinates=[37.487415, 55.81564], type=Point}";"";
"Стрешнево (проход 6)";"nested data";"Вход-выход";"да";"Северный административный округ";"Войковский район";"55.815335";"37.493765";"";"действует";"1059340772";"{coordinates=[37.493765, 55.815335], type=Point}";"";
"Стрешнево (проход 7)";"nested data";"Вход-выход";"да";"Северный административный округ";"район Сокол";"55.814933";"37.492466";"";"действует";"1059340773";"{coordinates=[37.492466, 55.814933], type=Point}";"";
"Тушинская (проход 6)";"nested data";"Вход-выход";"да";"Северо-Западный административный округ";"район Покровское-Стрешнево";"55.827289";"37.439745";"";"действует";"1059340778";"{coordinates=[37.439745, 55.827289], type=Point}";"";
"Тушинская (проход 7)";"nested data";"Вход-выход";"да";"Северо-Западный административный округ";"район Покровское-Стрешнево";"55.826864";"37.441093";"";"действует";"1059340780";"{coordinates=[37.441093, 55.826864], type=Point}";"";
"Волоколамская (проход 1)";"nested data";"Вход-выход";"да";"Северо-Западный административный округ";"район Митино";"55.833282";"37.383497";"";"действует";"1059340787";"{coordinates=[37.383497, 55.833282], type=Point}";"";
"Пенягино (проход 1)";"nested data";"Вход-выход";"нет";"";"";"55.822026";"37.360096";"";"действует";"1059340788";"{coordinates=[37.360096, 55.822026], type=Point}";"";
"Пенягино (проход 2)";"nested data";"Вход-выход";"нет";"";"";"55.821080";"37.360843";"";"действует";"1059340790";"{coordinates=[37.360843, 55.82108], type=Point}";"";
"Павшино (проход 1)";"nested data";"Вход-выход";"нет";"";"";"55.815721";"37.342040";"";"действует";"1059340791";"{coordinates=[37.34204, 55.815721], type=Point}";"";
"Красногорская (проход 1)";"nested data";"Вход-выход";"нет";"";"";"55.814307";"37.304286";"";"действует";"1059340793";"{coordinates=[37.304286, 55.814307], type=Point}";"";
"Красногорская (проход 2)";"nested data";"Вход-выход";"нет";"";"";"55.813906";"37.304545";"";"действует";"1059340794";"{coordinates=[37.304545, 55.813906], type=Point}";"";
"Опалиха (проход 1)";"nested data";"Вход-выход";"нет";"";"";"55.822986";"37.246450";"";"действует";"1059340795";"{coordinates=[37.24645, 55.822986], type=Point}";"";
"Опалиха (проход 2)";"nested data";"Вход-выход";"нет";"";"";"55.823000";"37.248438";"";"действует";"1059340796";"{coordinates=[37.248438, 55.823], type=Point}";"";
"Аникеевка (проход 1)";"nested data";"Вход-выход";"нет";"";"";"55.832651";"37.218316";"";"действует";"1059340797";"{coordinates=[37.218316, 55.832651], type=Point}";"";
"Аникеевка (проход 2)";"nested data";"Вход-выход";"нет";"";"";"55.832549";"37.218203";"";"действует";"1059340798";"{coordinates=[37.218203, 55.832549], type=Point}";"";
"Нахабино (проход 1)";"nested data";"Вход-выход";"нет";"";"";"55.842035";"37.184625";"";"действует";"1059340800";"{coordinates=[37.184625, 55.842035], type=Point}";"";
"Нахабино (проход 2)";"nested data";"Вход-выход";"нет";"";"";"55.841313";"37.184069";"";"действует";"1059340801";"{coordinates=[37.184069, 55.841313], type=Point}";"";
"Аникеевка (проход 3)";"nested data";"Вход-выход";"нет";"";"";"55.831966";"37.219818";"";"действует";"1059340802";"{coordinates=[37.219818, 55.831966], type=Point}";"";
"Славянский бульвар (проход 2)";"nested data";"Вход-выход";"да";"Западный административный округ";"район Фили-Давыдково";"55.730663";"37.472277";"";"действует";"1059382266";"{coordinates=[37.472277, 55.730663], type=Point}";"";
"Фили (проход 1)";"nested data";"Вход-выход";"да";"Западный административный округ";"район Филёвский Парк";"55.744283";"37.514404";"";"действует";"1059382269";"{coordinates=[37.514404, 55.744283], type=Point}";"";
"Фили (проход 2)";"nested data";"Вход-выход";"да";"Западный административный округ";"район Филёвский Парк";"55.744544";"37.514822";"";"действует";"1059382270";"{coordinates=[37.514822, 55.744544], type=Point}";"";
"Фили (проход 3)";"nested data";"Вход-выход";"да";"Западный административный округ";"район Дорогомилово";"55.744032";"37.515809";"";"действует";"1059382271";"{coordinates=[37.515809, 55.744032], type=Point}";"";
"Тестовская (Москва-Сити) (проход 1)";"nested data";"Вход-выход";"да";"Центральный административный округ";"Пресненский район";"55.756260";"37.532715";"";"действует";"1059382275";"{coordinates=[37.532715, 55.75626], type=Point}";"";
"Беговая (проход 1)";"nested data";"Вход-выход";"да";"Центральный административный округ";"Пресненский район";"55.772306";"37.541270";"";"действует";"1059382276";"{coordinates=[37.54127, 55.772306], type=Point}";"";
"Беговая (проход 2)";"nested data";"Вход-выход";"да";"Центральный административный округ";"Пресненский район";"55.772365";"37.541476";"";"действует";"1059382277";"{coordinates=[37.541476, 55.772365], type=Point}";"";
"Белорусская (проход 2) (А)";"nested data";"Вход-выход";"да";"Центральный административный округ";"Тверской район";"55.777144";"37.580364";"";"действует";"1059382279";"{coordinates=[37.580364, 55.777144], type=Point}";"";
"Белорусская (проход 3)";"nested data";"Вход-выход";"да";"Центральный административный округ";"Тверской район";"55.777752";"37.581919";"";"действует";"1059382280";"{coordinates=[37.581919, 55.777752], type=Point}";"";
"Савёловская (проход 1)";"nested data";"Вход-выход";"да";"Северо-Восточный административный округ";"Бутырский район";"55.794412";"37.587370";"";"действует";"1059382282";"{coordinates=[37.58737, 55.794412], type=Point}";"";
"Савёловская (проход 2)";"nested data";"Вход-выход";"да";"Северо-Восточный административный округ";"Бутырский район";"55.794445";"37.588867";"";"действует";"1059382283";"{coordinates=[37.588867, 55.794445], type=Point}";"";
"Тимирязевская (проход 2)";"nested data";"Вход-выход";"да";"Северный административный округ";"Тимирязевский район";"55.819130";"37.574924";"";"действует";"1059382284";"{coordinates=[37.574924, 55.81913], type=Point}";"";
"Тимирязевская (проход 5)";"nested data";"Вход-выход";"да";"Северо-Восточный административный округ";"Бутырский район";"55.819094";"37.576467";"";"действует";"1059382286";"{coordinates=[37.576467, 55.819094], type=Point}";"";
"Окружная (проход 4)";"nested data";"Вход-выход";"да";"Северо-Восточный административный округ";"район Марфино";"55.847905";"37.574129";"";"действует";"1059382287";"{coordinates=[37.574129, 55.847905], type=Point}";"";
